date,open,high,low,close,adjusted_close,volume
2021-06-28,1.5276,1.5361,1.4665,1.4783,1.4783,0
2021-06-29,1.4783,1.5105,1.4698,1.4723,1.4723,0
2021-06-30,1.4723,1.4842,1.436,1.4689,1.4689,0
2021-07-01,1.4689,1.4824,1.4494,1.4553,1.4553,0
2021-07-02,1.4553,1.4721,1.4264,1.4366,1.4366,0
2021-07-06,1.4366,1.4492,1.349,1.3515,1.3515,0
2021-07-07,1.3515,1.3716,1.288,1.3188,1.3188,0
2021-07-08,1.3188,1.3229,1.2463,1.2979,1.2979,0
2021-07-09,1.2979,1.3629,1.2979,1.3596,1.3596,0
2021-07-12,1.3596,1.378,1.3243,1.3654,1.3654,0
2021-07-13,1.3654,1.4371,1.331,1.4227,1.4227,0
2021-07-14,1.4227,1.4235,1.3384,1.3452,1.3452,0
2021-07-15,1.3452,1.351,1.2949,1.299,1.299,0
2021-07-16,1.299,1.3407,1.2929,1.2938,1.2938,0
2021-07-19,1.2938,1.2953,1.1823,1.1939,1.1939,0
2021-07-20,1.1939,1.2253,1.1335,1.2236,1.2236,0
2021-07-21,1.2236,1.3019,1.1945,1.2918,1.2918,0
2021-07-22,1.2918,1.3185,1.2292,1.28,1.28,0
2021-07-23,1.28,1.3124,1.2714,1.2764,1.2764,0
2021-07-26,1.2764,1.3006,1.2213,1.2973,1.2973,0
2021-07-27,1.2973,1.2973,1.2312,1.247,1.247,0
2021-07-28,1.247,1.2728,1.2261,1.2336,1.2336,0
2021-07-29,1.2336,1.2886,1.231,1.2719,1.2719,0
2021-07-30,1.2719,1.2719,1.2257,1.2282,1.2282,0
2021-08-02,1.2282,1.2456,1.1459,1.1782,1.1782,0
2021-08-03,1.1782,1.2005,1.1541,1.1748,1.1748,0
2021-08-04,1.1748,1.2154,1.1316,1.1838,1.1838,0
2021-08-05,1.1838,1.2269,1.1679,1.2236,1.2236,0
2021-08-06,1.2236,1.3104,1.2224,1.3029,1.3029,0
2021-08-09,1.3029,1.3281,1.2684,1.323,1.323,0
2021-08-10,1.323,1.3643,1.3061,1.3567,1.3567,0
2021-08-11,1.3567,1.3787,1.306,1.3372,1.3372,0
2021-08-12,1.3372,1.38,1.3362,1.3623,1.3623,0
2021-08-13,1.3623,1.3657,1.2851,1.2859,1.2859,0
2021-08-16,1.2859,1.2876,1.24,1.2759,1.2759,0
2021-08-17,1.2759,1.2759,1.2192,1.2642,1.2642,0
2021-08-18,1.2642,1.2994,1.2567,1.2617,1.2617,0
2021-08-19,1.2617,1.2684,1.2217,1.2458,1.2458,0
2021-08-20,1.2458,1.2634,1.2266,1.2609,1.2609,0
2021-08-23,1.2609,1.2818,1.2333,1.2525,1.2525,0
2021-08-24,1.2525,1.2952,1.2525,1.2952,1.2952,0
2021-08-25,1.2952,1.3491,1.286,1.3491,1.3491,0
2021-08-26,1.3491,1.3694,1.3323,1.3568,1.3568,0
2021-08-27,1.3568,1.3594,1.3037,1.3138,1.3138,0
2021-08-30,1.3054,1.318,1.276,1.2802,1.2802,0
2021-08-31,1.2802,1.3088,1.2684,1.3079,1.3079,0
2021-09-01,1.3079,1.3366,1.2911,1.2995,1.2995,0
2021-09-02,1.2995,1.3054,1.2861,1.2894,1.2894,0
2021-09-03,1.2894,1.335,1.2844,1.3257,1.3257,0
2021-09-07,1.3257,1.3834,1.3257,1.3732,1.3732,0
2021-09-08,1.3732,1.3766,1.3376,1.3444,1.3444,0
2021-09-09,1.3444,1.347,1.2921,1.303,1.303,0
